	geneID	symbol	G7F_mean	G7FNSen_mean	G7FSen_mean	G7M_mean	G7MNSen_mean	G7MSen_mean	G7S_mean	G7SNSen_mean	G7SSen_mean	Y7F_mean	Y7FNSen_mean	Y7FSen_mean	Y7M_mean	Y7MNSen_mean	Y7MSen_mean	Y7S_mean	Y7SNSen_mean	Y7SSen_mean	G3F_mean	G3FNSen_mean	G3FSen_mean	G3M_mean	G3MNSen_mean	G3MSen_mean	G3S_mean	G3SNSen_mean	G3SSen_mean	Y3F_mean	Y3FNSen_mean	Y3FSen_mean	Y3M_mean	Y3MNSen_mean	Y3MSen_mean	Y3SNSen_mean	Y3SSen_mean	Y3S_mean	ranking
94	ENSMUSG00000028773	Fabp3	1.108826	2.6343623333333333	7.292113	1.11440545	0.0	6.984152333333333	3.854309066666667	2.8376665	4.025069333333334	3.8527865	5.721024666666667	11.45741	6.646433666666668	3.4115509000000004	20.36067333333333	14.615046	8.666701999999999	4.113368066666666	0.65642656	2.6478688666666668	3.126558333333333	6.823305666666666	2.5625735	18.915248666666667	4.452769666666666	1.7954110666666665	14.321997333333336	1.3727019333333337	3.080218	6.496544	13.002197333333337	0.0	41.51596333333333	1.0805183333333332	14.36999	3.202665	1
10	ENSMUSG00000102433	Gm38050	1.26417175	4.7732410000000005	5.320926	0.0	0.0	0.9662131	0.0	0.0	0.0	2.90117475	2.9830203333333336	9.686627333333334	0.94128935	0.0	11.7411305	0.0	0.0	4.119480333333334	5.463867666666666	1.327813	2.6270185	5.8783720000000015	0.0	6.743116666666666	0.0	0.0	3.904616666666667	0.0	0.3718425	4.617450333333333	1.4492225	0.0	3.798781	0.0	1.6559504333333337	0.0	2
106	ENSMUSG00000044471	Lncpint	53.471140000000005	29.90935333333333	7.166949000000001	22.67221333333333	9.201572	4.214949666666667	15.337307999999998	3.2359993	0.6041723999999999	26.06865333333333	5.273987333333333	4.071427666666668	16.066019999999998	2.756738233333333	4.311420666666667	19.397881666666667	1.1603335533333334	4.808165	31.94138	3.4443300000000003	2.606757733333333	13.533969333333332	3.3985499333333333	1.634577	20.843632666666668	1.4551578666666665	2.2979854	31.29021666666667	5.483048333333333	6.133261666666668	24.46672	5.408345333333332	2.762374666666666	1.16954635	1.320244	34.16972	3
43	ENSMUSG00000071533	Pcnp	10.729073333333332	14.38957	8.495852333333334	10.363421666666666	10.460677333333336	8.948536666666667	16.355583333333332	13.633726666666664	11.497847333333333	7.569894333333332	8.396793333333333	7.598001333333332	10.770078333333332	10.472245333333332	8.488354666666668	12.841263333333332	11.243830333333335	8.383353999999999	10.860674666666668	12.39089	9.818381333333337	9.694391666666666	11.237173666666669	9.572802333333334	11.462723333333336	13.756416666666668	9.674773333333334	9.580694666666666	9.364736666666667	8.473848666666667	10.821351000000002	10.569788333333332	6.111948000000001	12.02082	9.713858	12.11366	4
18	ENSMUSG00000020863	Luc7l3	16.972573333333333	14.361966666666667	8.451579666666667	11.245946666666669	11.973416666666669	9.386506666666667	19.330206666666665	20.18698333333333	13.063754	11.451036666666669	10.183624333333334	6.775011999999999	13.206970000000002	17.45920333333333	8.253558666666667	18.520896666666676	20.636976666666666	10.859952666666665	9.895512666666669	12.027343	7.135513333333333	9.974796333333332	18.808376666666668	11.526899666666669	17.306829999999998	14.337746666666668	15.37357	10.445292666666663	8.347679	6.340688333333333	15.855946666666668	25.13263666666667	6.4035866666666665	14.182250000000002	12.527593333333336	21.817175	5
117	ENSMUSG00000030771	Micalcl	0.0	0.04543145	0.21427115	0.0	0.12028577	0.6850685999999999	0.0	0.0	0.88937695	0.0	0.0	0.1210738	0.0	0.0	0.0	0.0	0.0	0.221245235	0.0	0.16890854	0.2052020666666666	0.0	0.0	0.25711275	0.0	0.0	0.4388441333333333	0.0	0.0194169166666666	0.3332570666666666	0.0	0.0	0.27056765	0.0	0.14191805	0.0	6
79	ENSMUSG00000028053	Ash1l	18.42496	13.046954666666664	8.329150666666667	12.811152666666668	9.040402	7.524994666666667	13.682936666666668	11.960306333333332	10.526299333333334	12.648130000000002	6.840388000000001	7.571658999999999	10.320036666666669	6.140758666666668	6.226978333333332	14.747183333333336	9.237745666666669	7.6240466666666675	15.258736666666666	6.044292333333334	5.953343333333334	8.196437666666666	6.867298000000001	6.237718666666666	18.74173333333333	8.891436666666666	6.232045333333333	17.028976666666665	8.06606	7.457583666666667	9.994184000000002	8.460669333333334	5.803648666666668	7.741265666666667	7.172253	16.954535	7
87	ENSMUSG00000086712	AI427809	0.0	1.22847375	3.130106	0.0	0.0	2.96912	0.0	0.0	0.0	0.6482643333333334	0.0	7.601975333333333	3.7865892	1.06396642	7.389575933333332	0.0	0.0	2.4655153333333337	0.0	2.7780753333333337	3.240343	2.610624333333333	0.0	4.0661133666666665	0.0	0.0	3.1753853333333333	0.8457889999999999	5.560121333333334	8.081728666666667	1.805436	0.0	10.820645	0.0	1.259414	0.0317890999999999	8
127	ENSMUSG00000032595	Cdhr4	0.0	0.0	0.31058403	0.0	0.09428658	0.0	0.0	0.0	0.026276795	0.0	0.0	0.1345987833333333	0.0	0.033180985	0.3371805	0.0	0.0	0.0	0.0	0.0	0.05070329	0.0	0.0	0.03873192	0.0	0.0	0.18254059	0.0	0.0	0.2572649733333333	0.0	0.0	0.0	0.0	0.169501725	0.0	9
70	ENSMUSG00000032679	Cd59a	0.5494198	0.0	1.6512972	0.0	1.35070145	3.5313575000000004	7.777188333333334	0.12154775	11.251232333333334	2.074818	4.6256855	4.312560333333334	0.0	3.516760666666667	4.622808333333333	13.413623333333335	4.309384333333334	35.961866666666666	1.5342383999999998	0.5863844	1.411658	0.0	0.0	4.416460666666667	16.131761666666666	1.9388582333333333	5.922007	0.0	0.8473016999999999	1.5929590000000002	0.260174005	0.0	4.280093	0.7405219333333334	3.6475943333333336	7.6989930000000015	10
