geneID	G7F_mean	G7FNSen_mean	G7FSen_mean	G7M_mean	G7MNSen_mean	G7MSen_mean	G7S_mean	G7SNSen_mean	G7SSen_mean	Y7F_mean	Y7FNSen_mean	Y7FSen_mean	Y7M_mean	Y7MNSen_mean	Y7MSen_mean	Y7S_mean	Y7SNSen_mean	Y7SSen_mean	G3F_mean	G3FNSen_mean	G3FSen_mean	G3M_mean	G3MNSen_mean	G3MSen_mean	G3S_mean	G3SNSen_mean	G3SSen_mean	Y3F_mean	Y3FNSen_mean	Y3FSen_mean	Y3M_mean	Y3MNSen_mean	Y3MSen_mean	Y3SNSen_mean	Y3SSen_mean	Y3S_mean
ENSMUSG00000041035	3.741585	5.476588666666667	9.134824	4.445433	4.820031666666666	9.887305333333332	2.491122	7.583038333333333	4.057106999999999	8.506929666666666	12.251136666666667	12.879040333333334	9.485862666666666	12.740983333333332	16.250383333333335	2.286934	6.056839666666666	11.290213	5.6272459999999995	18.232701666666667	14.06521	10.638855333333334	3.877521	17.993263333333335	6.303417333333333	10.294990333333333	14.234973333333334	5.364082	10.952284	10.998513333333332	8.117414000000002	7.482259666666665	17.87965	8.260528666666666	8.902719333333334	4.398082
ENSMUSG00000051154	13.17953	40.090286666666664	48.981786666666665	14.350853333333331	22.269746666666663	34.68888	14.049467	37.778650000000006	62.37301666666667	33.256573333333336	65.06390666666667	78.65670999999999	41.767109999999995	35.98690666666667	74.06298	16.920096666666666	61.87276000000001	68.38849333333333	31.716183333333333	68.80461333333334	62.6694	44.76842666666667	16.94047	56.169846666666665	22.34399666666667	46.10685	54.32808666666667	30.771043333333335	60.183793333333334	58.09763999999999	30.435086666666663	13.366689333333332	66.10957666666667	54.68364666666667	85.65140000000001	17.097835
ENSMUSG00000044627	20.47773666666667	36.62282666666667	39.96544	21.83969	23.00288666666667	27.904823333333336	31.65365	31.59411	30.73457666666667	36.858826666666666	44.46247666666667	43.79913333333334	22.165283333333335	26.368323333333333	32.162663333333334	28.690886666666668	34.764230000000005	45.94559999999999	29.311436666666665	66.74955333333334	51.94958666666667	22.40693	29.705203333333333	38.25934	29.98061	32.28875333333334	37.075426666666665	30.698310000000003	59.62134	55.57304	19.02002333333333	20.81508	31.519386666666666	35.14194666666667	45.15475333333333	26.32143
ENSMUSG00000039195	2.522594	4.7380233333333335	10.712111666666669	6.213702333333333	10.056326666666664	12.032586	1.6915386366666667	6.004783	10.086424	8.980096333333334	8.108840666666667	11.965155333333334	5.9097403333333345	9.166502	12.296491333333334	0.42353	6.62225	11.317419999999998	3.860405333333333	5.477142	6.99384	7.136594666666667	5.804711999999999	9.971799666666668	4.205088333333333	10.193513666666668	9.966246333333334	6.644030333333333	6.056329000000001	9.772207000000002	7.303656	7.914778000000001	12.154182333333331	12.748873333333334	21.827766666666665	1.0648538
ENSMUSG00000027022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1573756	0.0	0.0	1.2364319333333331	0.4403928	0.0	0.0832053066666666	0.0	0.0	0.0	0.0	0.0	0.18404659	0.0	0.0	0.0451415973333333	0.0	0.0	1.519197666666667	0.016699945	0.0	0.15734467	0.074549685	0.0	0.1055086433333333	0.0	8.95491	0.005716441
ENSMUSG00000085135	0.0	0.0	0.9437970666666669	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.792694	0.7771837333333332	0.0	0.0	1.134499	0.0	0.0	0.9330463	0.40341165	0.0	1.0735443	0.0	0.0	1.1746960666666666	0.0	0.0	3.3299046666666663	0.0	0.53528432	1.3375722666666665	0.0	10.2559545	0.27273755	0.0	0.5682159666666666	0.0
ENSMUSG00000032679	0.5494198	0.0	1.6512972	0.0	1.35070145	3.5313575000000004	7.777188333333332	0.12154775	11.251232333333334	2.074818	4.6256854999999995	4.312560333333333	0.0	3.516760666666667	4.622808333333333	13.413623333333334	4.309384333333333	35.96186666666667	1.5342384	0.5863844	1.411658	0.0	0.0	4.416460666666667	16.131761666666666	1.9388582333333335	5.922007000000001	0.0	0.8473017	1.5929590000000002	0.260174005	0.0	4.280093	0.7405219333333334	3.6475943333333336	7.698993
ENSMUSG00000081967	2.0083607666666667	2.243742	2.7458145000000003	1.4358992666666668	2.3206846666666667	2.742172	2.728752666666667	3.425151	3.8976923333333335	2.8910739999999997	2.7376546666666672	3.604924333333333	2.446455333333333	2.745924666666667	6.354238	3.0565219999999997	3.634345666666667	3.398195	1.551364666666667	4.495477666666667	5.095116333333333	2.643551	1.4400726666666666	4.015834333333333	2.821434866666667	3.710769333333334	4.4717986666666665	1.8910474666666663	2.6335493333333333	3.875367	2.4895932999999997	1.5962953333333332	4.053486333333333	5.6250029999999995	6.560646666666666	1.4013055
ENSMUSG00000016921	52.16592333333333	58.025903333333325	36.84473	57.37041333333334	62.75457333333333	53.41802666666666	129.58096666666663	81.72951	43.81827666666667	44.87068333333334	55.96749333333333	44.30202333333333	46.71513000000001	51.89825666666667	34.97019666666667	108.10116666666666	95.53429333333332	57.05957000000001	42.098373333333335	57.89903	41.92244666666667	41.47015666666667	52.177576666666674	33.71238	98.74628333333332	77.64311666666667	39.53955666666666	45.95710333333333	48.44299	33.329010000000004	38.94515666666667	66.42663333333333	27.459023333333334	66.77264333333333	45.482229999999994	147.7286
ENSMUSG00000016356	0.0	0.1613929866666666	0.5730061333333333	0.0	0.0	0.201206005	0.0	0.0	1.3805183	0.0	0.135851325	0.5278101466666667	0.0582944549999999	0.0	0.1641919	0.13325776	0.0	5.1447095	0.0	1.22801955	0.1995944	0.0	0.0	0.38833995	0.0	0.0	0.4670936666666667	0.3509523	0.2717308	0.4193649	0.34746735	0.0	0.11671369	0.0	1.927886185	0.33560675
ENSMUSG00000027750	0.5018109666666667	458.4661966666667	1253.1180000000002	0.1814406433333333	108.53604233333334	10.8480917	0.62765156	27.662126666666666	359.10353333333336	61.88088000000001	923.8328	1804.3316666666667	3.903364	7.749743866666666	31.873345666666665	1.6376556366666666	99.32285333333334	2183.6846666666665	11.881710666666663	581.7564000000001	551.7671	1.0051339	0.3335314	106.65972666666669	1.5898043333333334	2.927680833333333	108.77788666666667	41.84035666666667	1166.0226666666667	1075.6295666666667	0.1221459166666666	10.816536366666668	1.0536274333333333	3.966943333333333	195.16403	2.8173457
